License Plate,Best Score,Entry Time,Exit Time,ID
PFQ5217,1.0,2024-06-09 21:44:20,2024-06-09 21:44:20,1
WXI1415,1.0,2024-06-09 21:45:42,2024-06-09 21:45:42,2
SAB1633C,1.0,2024-06-09 21:45:56,2024-06-09 21:45:56,3
SAB1633C,1.0,2024-06-09 22:21:52,,4
SAB1633C,1.0,2024-06-09 22:22:08,,5
WXI1415,1.0,2024-06-09 22:25:03,,6
SAB1633C,1.0,2024-06-09 22:25:11,,7
SAB1633C,1.0,2024-06-09 22:25:11,2024-06-09 22:25:22,8
SAB1633C,1.0,2024-06-09 22:31:22,,9
SAB1633C,1.0,2024-06-09 22:31:22,2024-06-09 22:31:33,10
SAB1633C,1.0,2024-06-09 22:31:22,2024-06-09 22:31:44,11
PFQ5217,1.0,2024-06-10 11:11:38,,12
SAB1633C,1.0,2024-06-10 11:11:47,,13
WXI1415,1.0,2024-06-10 11:12:09,,14
SAB1633C,1.0,2024-06-10 11:16:40,,15
PFQ5217,1.0,2024-06-10 11:22:27,,16
PFQ5217,1.0,2024-06-10 11:22:27,2024-06-10 11:22:38,17
SAB1633C,1.0,2024-06-10 11:22:39,,18
WXW1415,1.0,2024-06-10 11:22:55,,19
SAB1633C,1.0,2024-06-10 11:22:39,2024-06-10 11:24:16,20
WXW1415,1.0,2024-06-10 11:29:22,,21
WXW1415,1.0,2024-06-10 11:29:22,2024-06-10 11:29:33,22
SAB1633C,1.0,2024-06-10 11:29:34,,23
PFQ5217,1.0,2024-06-10 11:30:03,,24
PFQ5217,1.0,2024-06-10 11:30:03,2024-06-10 11:30:14,25
PFQ5217,1.0,2024-06-10 11:30:03,2024-06-10 11:30:25,26
PFQ5217,1.0,2024-06-10 11:30:03,2024-06-10 11:30:36,27
PFQ5217,1.0,2024-06-10 11:30:03,2024-06-10 11:30:47,28
PFQ5217,1.0,2024-06-10 11:30:03,2024-06-10 11:31:19,29
PFQ5217,1.0,2024-06-10 11:30:03,2024-06-10 11:31:30,30
PFQ5217,1.0,2024-06-10 11:30:03,2024-06-10 11:31:41,31
SAB1633C,1.0,2024-06-10 11:50:48,,32
SAB1633C,1.0,2024-06-10 11:50:48,2024-06-10 11:52:47,33
SAB1633C,1.0,2024-06-10 11:50:48,2024-06-10 11:52:58,34
SAB1633C,1.0,2024-06-10 11:50:48,2024-06-10 11:53:09,35
SAB1633C,1.0,2024-06-10 11:50:48,2024-06-10 11:53:20,36
SAB1633C,1.0,2024-06-10 11:50:48,2024-06-10 11:53:31,37
SAB1633C,1.0,2024-06-10 11:50:48,2024-06-10 11:53:42,38
SAB1633C,1.0,2024-06-10 11:50:48,2024-06-10 11:53:53,39
